south,UE Square,239918,"83, Clemenceau Ave
#01-31 UE Square
Singapore 239918
Tel: 6235 8679","Mon - Thu
Fri
Sat & Eve of PH
Sun
Peak Hours
Mon - Sun
Mon - Sun","0700 - 2200 hrs
0700 - 2230 hrs
0730 - 2230 hrs
0730 - 2200 hrs
0800 - 1100 hrs
1400 - 1800 hrs"
south,Universal Studios Singapore,098140,"30 Sentosa Gateway #01-309
Singapore 098140
Tel: 6238 6839","Sun - Fri
Sat","0900 - 1900 hrs
0900 - 2000 hrs"
south,VivoCity,098585,"1 HarbourFront Walk
#02-60/61 VivoCity
Singapore 098585
Tel: 6271 5634","Mon - Thu
Fri, Sat & Eve of PH
Sun & PH
Peak Hours
Mon - Fri
Sat & Sun","0900 - 2300 hrs
0900 - 0000 hrs
0900 - 2300 hrs
1200 - 1700 hrs
All Day"
south,VivoCity II,098585,"1 Harbour Front
#01-168/169/170
VivoCity
Singapore 098585
Tel: 6376 9073","Mon - Thu
Fri, Sat & Eve of PH
Sun & PH
Peak Hours
Mon - Fri
Sat & Sun","0800 - 2300 hrs
0800 - 0000 hrs
0800 - 2300 hrs
0900 - 2230 hrs
0900 - 2230 hrs"
west,Bukit Panjang Plaza,677743,"1 Jelebu Road
#01-48 / 49 / 50
Bukit Panjang Plaza
Singapore 677743
Tel: 6769 3704","Mon - Thu
Fri, Sat & Eve of PH
Sun & PH
Peak Hours
Mon - Fri
Mon - Fri
Sat, Sun & PH","0800 - 2230 hrs
0800 - 0000 hrs
0800 - 2230 hrs
1200 - 1700 hrs
1900 hrs till closing
All day"
west,Bukit Timah,269707,"587 Bukit Timah
#01-03 Coronation Plaza
Singapore 269707
Tel: 6463 5492","Everyday
Peak Hours
Mon - Fri
Mon - Fri
Sat, Sun & PH","0730 - 2300 hrs
0800 - 2300 hrs
1300 - 2100 hrs
All day"
west,Cintech IV,118264,"79 Science Park Drive
#01-03, Cintech IV
Singapore Science Park I
Singapore 118264
Tel: 6872 4737","Mon - Fri
Sat, Sun & PH
Peak Hours
Everyday
Everyday","0730 - 2000 hrs
CLOSED
0800 - 1000 hrs
1130 - 1400 hrs"
west,The Clementi Mall,129588,"3155 Commonwealth Avenue West
#03-K1/K3
Singapore 129588
Tel: 6659 9548","Everyday
Peak Hours
Mon - Thu
Fri - Sun & Eve of PH","0730 - 2300 hrs
1200 - 2100 hrs
All day"
west,Fusionopolis,138632,"Connexis
No. 1 Fusionopolis Way
#01-20
Singapore 138632
Tel: 6469 8761","Mon - Fri
Sat & Sun
Peak Hours
Mon - Fri","0730 - 1900 hrs
0800 - 1930 hrs
0800 - 1500 hrs"
west,JCube,609731,"2 Jurong East Central 1
#02-19 JCube
Singapore 609731
Tel: 6734 9605","Sun – Thur & PH
Fri, Sat & Eve of PH","0800 - 2230 hrs
0800 - 0030 hrs"
west,JEM,608549,"50 Jurong Gateway Road
#01-02 JEM
Singapore 608549
Tel: 6339 4717","Sun – Thu
Fri – Sat & Eve of PH","0730 – 2230 hrs
0730 – 0100 hrs"
west,Jurong Point,648331,"63 Jurong West Central 3
#03-52/52A Jurong Point
Singapore 648331
Tel: 6790 8376","Mon - Thu, Sun & PH
Fri, Sat & Eve of PH
Peak Hours
Mon - Thu
Mon - Thu
Fri - Sun, Eve of PH & PH","0800 - 2300 hrs
0800 - 0000 hrs
1200 - 1700 hrs
1900 - 2200 hrs
All day"
